age,job,marital,education,default,balance,housing,loan,uid
31,services,married,secondary,no,442,yes,no,29116
32,admin.,married,primary,no,1351,yes,no,4640
38,student,single,tertiary,no,3316,no,no,10960
43,blue-collar,married,primary,no,823,yes,no,35583
35,management,single,tertiary,no,1045,yes,no,4926
47,self-employed,married,tertiary,no,1011,no,no,44935
32,self-employed,divorced,tertiary,no,745,yes,yes,18619
37,entrepreneur,married,tertiary,no,189,no,no,39932
31,blue-collar,married,secondary,no,3364,yes,no,26246
52,blue-collar,married,secondary,no,266,yes,no,39162
53,retired,married,tertiary,no,74,yes,no,3410
41,blue-collar,married,secondary,yes,-750,yes,yes,15868
52,management,married,tertiary,no,583,no,no,43735
55,management,married,tertiary,no,0,no,no,12436
54,self-employed,married,unknown,no,204,no,no,23375
34,management,married,tertiary,no,0,yes,yes,13750
59,unknown,married,unknown,no,1500,no,no,45187
40,management,single,tertiary,no,1820,yes,yes,8538
46,unemployed,married,secondary,no,594,no,no,30145
37,self-employed,married,tertiary,no,865,yes,yes,13574
43,management,married,tertiary,no,0,no,no,27016
42,management,married,secondary,no,6526,no,no,40344
37,admin.,single,secondary,no,328,no,no,28379
43,blue-collar,single,secondary,no,24,no,no,36647
37,technician,married,secondary,no,1120,yes,no,28593
38,technician,married,secondary,no,318,no,no,44438
38,services,single,primary,no,3715,yes,no,37131
32,technician,married,secondary,no,-91,yes,no,5937
58,unemployed,divorced,primary,no,414,no,no,28430
56,management,married,tertiary,no,167,yes,no,31708
25,student,single,secondary,no,1790,no,no,7553
72,self-employed,married,tertiary,no,132,no,no,40402
46,management,single,tertiary,no,379,no,no,20258
32,unemployed,single,primary,no,1429,no,no,43236
37,management,divorced,secondary,no,414,no,no,21932
46,blue-collar,married,primary,no,874,no,no,19378
22,student,single,secondary,no,489,no,no,7037
55,blue-collar,married,unknown,no,1665,no,no,17901
32,blue-collar,single,secondary,no,1139,yes,no,28394
49,management,single,secondary,no,0,no,no,23855
35,technician,single,tertiary,no,576,no,no,23762
23,services,single,secondary,no,91,yes,no,3847
38,management,married,tertiary,no,484,yes,no,19990
51,admin.,married,secondary,no,3736,no,no,26316
24,technician,single,secondary,no,2355,yes,no,11073
41,admin.,married,secondary,no,239,yes,no,17353
29,blue-collar,married,primary,no,163,yes,yes,28302
54,retired,divorced,primary,no,52,no,no,11589
32,blue-collar,married,secondary,no,1520,yes,no,25552
83,retired,divorced,primary,no,46,no,no,31396
51,technician,divorced,secondary,no,0,no,no,20260
50,management,married,tertiary,no,5108,yes,no,42522
32,technician,single,tertiary,no,930,no,no,23397
24,admin.,single,secondary,no,845,yes,no,2356
37,technician,married,secondary,no,0,yes,no,33765
31,management,married,tertiary,no,623,yes,no,37227
34,unemployed,single,secondary,no,371,no,no,27949
36,blue-collar,single,tertiary,no,1830,no,no,45015
61,retired,married,secondary,no,89,no,no,42020
29,services,married,secondary,no,182,yes,no,37508
33,blue-collar,married,primary,no,2615,yes,no,6548
26,unknown,divorced,secondary,no,-295,yes,no,35219
33,blue-collar,married,secondary,no,152,yes,no,2722
43,technician,single,secondary,no,326,yes,no,14750
38,technician,divorced,secondary,no,-453,no,yes,23273
55,services,divorced,primary,no,2923,yes,no,28413
56,blue-collar,married,secondary,no,302,no,yes,18964
32,blue-collar,single,secondary,no,217,yes,no,38733
43,management,married,tertiary,no,2383,no,no,20851
37,admin.,single,secondary,no,-332,yes,no,5394
42,housemaid,divorced,secondary,no,3253,no,no,11977
28,blue-collar,married,secondary,no,61,yes,no,41241
50,technician,divorced,secondary,no,0,no,no,20784
28,technician,married,secondary,no,930,yes,yes,5812
58,unemployed,married,secondary,no,2690,no,no,19493
48,technician,married,secondary,yes,0,no,no,7638
61,retired,married,primary,no,0,yes,yes,21371
45,blue-collar,married,primary,no,660,yes,no,14256
31,technician,single,secondary,no,2305,no,no,18870
22,student,single,secondary,no,216,no,no,44465
54,blue-collar,married,secondary,no,688,yes,no,30060
58,blue-collar,divorced,secondary,no,1103,yes,no,29039
38,admin.,divorced,secondary,no,407,yes,yes,43064
32,admin.,single,secondary,no,6188,yes,yes,25318
43,management,married,tertiary,no,13015,yes,no,27273
32,blue-collar,married,secondary,no,-249,yes,yes,15893
40,blue-collar,divorced,primary,no,54,yes,no,37208
36,blue-collar,married,tertiary,no,9,yes,no,11121
51,services,divorced,secondary,no,65,no,yes,14644
28,management,married,tertiary,no,3844,yes,no,8600
29,admin.,married,secondary,no,0,yes,no,1727
58,blue-collar,married,secondary,no,371,no,no,22429
47,admin.,single,tertiary,no,0,no,no,28447
38,admin.,married,secondary,no,384,no,no,29570
57,housemaid,married,primary,no,501,yes,yes,42992
38,blue-collar,single,secondary,no,1137,no,no,37253
29,blue-collar,married,primary,yes,-43,yes,no,1735
30,blue-collar,single,tertiary,no,297,no,no,31673
58,retired,married,primary,no,657,yes,no,10341
33,blue-collar,single,primary,no,785,yes,no,26514
34,blue-collar,single,primary,no,2299,no,no,27173
47,entrepreneur,married,tertiary,no,0,no,no,25011
38,unemployed,married,primary,no,338,no,no,11495
45,management,married,primary,no,2690,no,no,17673
32,technician,single,secondary,no,17,no,no,23462
60,retired,divorced,tertiary,no,979,yes,no,42678
29,blue-collar,single,secondary,no,114,yes,no,35010
34,admin.,married,secondary,no,445,no,no,21776
57,management,married,tertiary,no,4185,yes,no,17002
58,management,married,unknown,no,0,no,no,10122
40,blue-collar,married,secondary,no,1522,yes,yes,2892
25,services,married,secondary,no,121,yes,no,39347
36,blue-collar,married,unknown,no,722,yes,no,4552
32,blue-collar,married,primary,no,1076,yes,no,4156
32,technician,married,tertiary,no,3850,yes,no,33387
48,management,divorced,tertiary,no,1144,yes,no,24550
56,unemployed,divorced,primary,no,802,no,no,29682
34,blue-collar,married,secondary,no,326,yes,yes,3548
26,admin.,married,secondary,no,2469,no,no,44207
34,blue-collar,married,secondary,no,1412,yes,yes,25410
36,admin.,divorced,tertiary,no,281,no,no,28877
37,management,married,tertiary,no,2364,no,no,15509
45,admin.,divorced,secondary,no,-288,no,yes,13583
31,student,single,unknown,no,2144,yes,no,25998
43,management,married,tertiary,no,2,no,yes,21931
37,technician,single,secondary,no,2139,yes,no,37599
46,unemployed,married,secondary,no,1040,no,no,40930
28,management,married,tertiary,no,3516,no,no,15126
37,services,divorced,secondary,no,490,yes,no,29008
32,self-employed,single,tertiary,no,368,no,no,27628
59,blue-collar,married,primary,no,625,no,no,13557
45,services,married,secondary,no,-75,yes,no,29086
34,services,single,secondary,no,-30,no,no,15859
33,blue-collar,married,secondary,no,-81,yes,no,28269
38,admin.,married,secondary,no,9618,yes,no,9721
27,student,single,tertiary,no,311,no,no,44322
38,services,married,secondary,no,293,no,no,11854
56,retired,married,primary,no,13,yes,no,2192
42,blue-collar,married,primary,no,199,yes,no,29021
46,technician,married,primary,no,718,yes,no,30706
25,student,single,secondary,no,469,no,no,41222
35,admin.,single,secondary,no,0,no,yes,12820
50,technician,divorced,tertiary,no,291,no,yes,15124
50,retired,married,secondary,no,8648,no,no,36515
51,self-employed,single,tertiary,no,0,yes,no,14086
52,housemaid,married,primary,no,1837,no,no,9342
34,blue-collar,single,secondary,no,558,yes,no,4801
40,blue-collar,married,primary,no,2805,yes,no,38044
49,management,married,tertiary,no,5887,no,no,42412
49,admin.,married,secondary,no,5361,no,no,40717
36,management,married,tertiary,no,0,yes,no,24955
26,admin.,single,secondary,no,274,no,no,31461
37,blue-collar,married,primary,no,2814,yes,no,26710
48,management,single,tertiary,no,5689,no,no,31055
38,admin.,divorced,secondary,no,673,yes,no,35236
41,technician,single,secondary,no,-41,yes,yes,31575
26,admin.,single,secondary,no,81,no,yes,13919
39,management,married,tertiary,no,399,no,no,31919
32,admin.,single,secondary,no,781,no,no,26614
59,management,divorced,tertiary,no,-76,yes,yes,488
46,management,married,tertiary,no,22452,yes,no,26182
33,unemployed,married,primary,no,574,yes,no,33498
46,services,married,secondary,no,22,yes,no,26972
40,technician,single,unknown,no,3652,yes,no,2956
34,entrepreneur,married,tertiary,no,145,yes,yes,15472
36,unemployed,married,primary,no,646,no,no,30398
42,management,married,tertiary,no,1435,yes,no,35265
28,admin.,single,secondary,no,261,yes,yes,41530
40,admin.,married,secondary,no,-253,yes,no,13499
48,technician,married,tertiary,no,58,yes,no,40238
34,self-employed,single,tertiary,no,892,yes,no,28451
49,management,divorced,tertiary,no,1904,no,yes,24603
32,blue-collar,married,primary,no,1,yes,no,36396
37,admin.,married,secondary,no,0,yes,no,12069
41,services,married,secondary,no,-700,no,yes,10403
30,management,married,tertiary,no,74,yes,no,15829
34,management,single,tertiary,no,1,yes,no,16589
45,blue-collar,single,primary,no,116,no,no,43469
53,retired,married,secondary,no,1296,yes,no,10811
41,management,married,tertiary,no,2226,no,no,40734
75,retired,married,primary,no,1765,no,no,44789
33,blue-collar,married,secondary,no,17,no,no,13783
57,retired,married,secondary,no,168,no,no,40686
32,self-employed,married,secondary,no,329,yes,no,38723
40,blue-collar,married,secondary,no,178,yes,no,14189
30,management,single,tertiary,no,0,no,no,22887
61,housemaid,married,primary,no,848,no,no,43560
54,management,divorced,tertiary,no,1288,no,no,28050
54,housemaid,married,primary,no,311,yes,no,14187
55,technician,single,unknown,no,776,no,no,9845
51,management,married,tertiary,no,1212,yes,no,2614
66,retired,single,tertiary,no,0,no,no,41747
40,self-employed,single,tertiary,no,265,no,no,30402
54,services,married,secondary,no,812,no,no,18724
57,admin.,divorced,primary,no,628,yes,yes,2925
25,student,single,unknown,no,10788,no,no,42549
33,unemployed,single,tertiary,no,3805,yes,no,29915
42,technician,married,tertiary,no,1397,yes,no,30578
57,management,married,tertiary,no,3431,yes,no,3684
57,retired,single,secondary,no,976,yes,no,13518
31,blue-collar,single,secondary,no,609,yes,no,32035
25,blue-collar,single,primary,no,4599,no,no,43470
60,retired,married,primary,no,1906,no,no,39905
48,services,married,secondary,no,0,yes,no,31519
36,unemployed,married,primary,no,771,yes,no,35995
47,blue-collar,married,primary,no,475,yes,yes,28403
74,retired,married,tertiary,no,1742,no,no,42027
35,services,single,primary,no,790,no,no,13213
42,unknown,single,unknown,no,1316,no,no,9094
53,self-employed,married,tertiary,no,20,yes,no,19629
38,technician,single,secondary,no,61,yes,no,37045
27,entrepreneur,married,secondary,no,97,yes,yes,39234
59,retired,married,primary,no,46,no,no,21094
37,admin.,married,secondary,no,18,yes,yes,6615
54,blue-collar,divorced,secondary,no,218,no,no,9580
33,admin.,single,tertiary,no,12704,yes,no,27584
34,technician,married,tertiary,no,11752,yes,no,38702
52,blue-collar,divorced,primary,no,528,no,no,29906
50,management,divorced,secondary,no,535,no,no,19255
59,retired,divorced,secondary,no,1,no,no,41169
38,entrepreneur,single,secondary,no,2543,no,no,45176
40,retired,married,primary,no,0,yes,yes,25
32,technician,single,unknown,no,491,no,no,44116
34,admin.,married,secondary,no,641,yes,yes,3909
47,technician,married,primary,no,145,yes,no,1107
43,management,married,tertiary,no,1059,no,yes,39791
57,retired,married,primary,no,7938,no,no,10813
52,technician,married,secondary,no,195,yes,no,39597
30,technician,single,tertiary,no,198,yes,no,32353
50,services,married,secondary,no,3374,no,no,11592
33,management,single,tertiary,no,3623,no,no,20993
36,management,single,tertiary,yes,-559,yes,no,7970
41,technician,married,secondary,no,2990,yes,no,7817
29,admin.,single,secondary,no,-349,yes,no,38623
48,entrepreneur,married,secondary,no,568,no,no,10061
34,management,married,tertiary,no,786,yes,yes,24869
44,unknown,married,unknown,no,722,yes,no,16129
55,blue-collar,divorced,unknown,no,103,yes,no,15858
59,admin.,divorced,secondary,no,1525,no,no,17625
52,blue-collar,married,primary,no,109,yes,no,28781
38,management,single,tertiary,no,2357,yes,no,15607
32,blue-collar,married,secondary,no,231,yes,no,3400
46,unemployed,single,tertiary,no,1808,no,no,27087
42,technician,married,secondary,no,1013,no,yes,23584
34,technician,single,secondary,no,920,yes,no,42064
42,management,married,tertiary,no,160,no,no,21849
46,retired,divorced,secondary,no,865,no,no,11077
45,management,married,tertiary,no,2022,no,no,7773
26,technician,single,tertiary,no,-67,yes,no,38317
34,blue-collar,married,primary,no,183,yes,no,4383
29,admin.,single,secondary,no,305,yes,no,38924
34,admin.,single,secondary,no,0,yes,no,24396
54,retired,married,secondary,no,-152,yes,yes,6005
44,management,married,tertiary,no,13893,no,no,10063
33,blue-collar,married,primary,no,925,no,no,26785
57,services,married,secondary,no,530,yes,no,38123
35,blue-collar,married,primary,no,914,yes,no,6528
27,admin.,single,secondary,no,0,yes,no,6176
52,management,married,secondary,no,173,no,no,5215
31,blue-collar,married,secondary,no,69,no,no,25680
36,admin.,single,secondary,no,0,yes,yes,6583
40,blue-collar,married,secondary,no,0,yes,yes,26033
48,admin.,married,secondary,no,112,no,no,21212
30,blue-collar,single,secondary,no,5909,yes,no,38976
24,student,single,secondary,no,7,yes,no,7525
39,entrepreneur,married,secondary,no,689,no,no,44352
42,housemaid,married,secondary,no,314,yes,yes,32843
30,management,single,tertiary,no,9,yes,yes,38561
49,management,divorced,tertiary,no,300,no,no,44248
32,management,divorced,tertiary,no,530,yes,no,31565
36,blue-collar,married,primary,no,0,yes,no,35975
34,services,married,secondary,no,1553,yes,no,33674
46,retired,married,secondary,no,23,yes,yes,19571
34,blue-collar,married,unknown,no,553,yes,no,8941
48,technician,married,secondary,no,-500,yes,no,1022
56,management,divorced,tertiary,no,0,no,no,9322
35,technician,divorced,secondary,no,473,yes,yes,5878
41,retired,single,secondary,no,1734,yes,no,36512
27,unknown,single,tertiary,no,6421,no,no,42787
44,entrepreneur,married,tertiary,no,1080,no,yes,12592
45,blue-collar,married,secondary,no,530,no,yes,10852
44,blue-collar,married,secondary,no,2455,yes,no,25057
36,management,married,tertiary,no,348,no,yes,16117
42,technician,married,secondary,no,29,no,no,23478
36,blue-collar,married,secondary,no,0,yes,no,493
54,blue-collar,married,primary,no,714,no,no,34496
48,blue-collar,married,secondary,no,1143,yes,no,32643
29,management,single,secondary,no,293,yes,no,6869
24,student,single,tertiary,no,1535,yes,no,2236
42,blue-collar,married,secondary,no,-269,yes,no,17934
41,admin.,divorced,secondary,no,783,yes,yes,38023
60,blue-collar,married,primary,no,3230,no,no,10085
42,technician,married,secondary,no,2152,no,no,44922
41,blue-collar,married,secondary,no,1885,yes,no,31742
40,blue-collar,married,secondary,no,72,yes,no,12351
36,technician,married,secondary,no,145,yes,yes,30551
53,admin.,married,secondary,no,2955,no,no,11517
45,management,divorced,secondary,no,1950,no,no,18846
32,technician,married,secondary,no,1951,yes,no,31816
39,unemployed,divorced,secondary,no,265,yes,no,43803
27,self-employed,single,secondary,no,23,yes,no,35738
31,services,married,secondary,no,283,yes,no,26085
42,management,married,tertiary,no,255,no,no,18867
53,management,married,tertiary,no,-388,yes,no,37911
27,blue-collar,married,secondary,no,556,yes,no,30856
34,retired,married,secondary,no,165,no,no,36535
38,admin.,divorced,secondary,no,4630,yes,no,8609
26,management,single,tertiary,no,47,yes,no,39001
39,management,married,tertiary,no,562,no,no,44769
27,blue-collar,divorced,secondary,no,1,yes,no,14497
56,blue-collar,married,secondary,no,121,no,no,30397
52,technician,married,secondary,no,1815,no,no,19439
57,management,married,tertiary,no,1318,no,no,32011
52,technician,married,secondary,no,2001,yes,no,6340
29,technician,single,secondary,no,362,no,no,31002
48,unemployed,married,secondary,no,0,no,no,21287
36,management,married,secondary,no,565,no,no,31416
34,admin.,single,secondary,no,79,yes,no,17211
44,technician,divorced,secondary,no,0,yes,yes,21138
33,technician,single,tertiary,no,1636,yes,no,34221
27,management,single,tertiary,no,405,yes,no,35451
52,technician,married,secondary,no,3577,no,yes,19976
58,blue-collar,married,primary,no,0,no,no,22730
39,admin.,married,secondary,no,1101,yes,no,34765
41,admin.,married,secondary,no,437,yes,no,29191
33,technician,divorced,secondary,no,558,yes,no,27562
35,housemaid,single,unknown,no,4378,no,no,10024
47,admin.,married,secondary,no,0,no,yes,42970
42,technician,married,secondary,no,83,yes,yes,36442
37,admin.,married,secondary,no,0,no,no,17822
38,management,married,tertiary,no,5506,no,no,26538
57,retired,single,tertiary,no,0,no,no,24979
25,student,single,secondary,no,4147,no,no,41090
37,technician,married,secondary,no,1580,no,no,22312
58,retired,divorced,tertiary,no,3237,no,no,24117
36,blue-collar,married,secondary,no,0,no,no,29776
32,blue-collar,married,secondary,no,22,yes,no,37632
40,self-employed,married,primary,no,422,yes,no,3164
29,admin.,single,tertiary,no,261,no,no,40107
34,management,married,tertiary,no,1048,no,no,19552
38,management,single,tertiary,no,8669,yes,no,27011
32,technician,married,unknown,no,14533,no,no,42591
34,management,single,tertiary,no,618,yes,no,8502
55,retired,married,secondary,no,188,no,no,2746
49,blue-collar,married,primary,no,154,yes,no,21248
28,admin.,single,secondary,no,1408,no,no,44563
38,admin.,married,secondary,no,46,no,no,19494
31,admin.,divorced,secondary,no,525,no,yes,26131
31,self-employed,married,secondary,no,296,yes,yes,16643
37,management,single,secondary,no,34,yes,no,7128
57,retired,married,primary,no,177,no,yes,15854
41,services,divorced,secondary,no,83,no,no,4578
65,retired,married,primary,no,1004,no,no,42030
54,technician,married,secondary,no,0,yes,no,36519
31,blue-collar,married,secondary,no,1766,no,yes,40173
51,technician,married,secondary,no,58,yes,no,24188
30,student,single,secondary,no,61,no,yes,30371
34,technician,divorced,secondary,no,0,yes,yes,33446
53,blue-collar,married,primary,no,1100,yes,no,10932
29,technician,single,unknown,no,0,no,yes,16069
29,admin.,married,secondary,no,1937,no,no,44599
53,management,single,secondary,no,5558,yes,no,3692
37,entrepreneur,divorced,secondary,no,14,no,no,9083
47,management,married,secondary,no,794,yes,yes,24621
52,blue-collar,married,secondary,no,3622,yes,yes,5631
33,blue-collar,single,secondary,no,33,yes,no,1816
43,blue-collar,married,secondary,no,14646,no,no,41957
57,housemaid,married,primary,no,1303,no,no,22903
58,retired,married,primary,no,650,yes,yes,32885
33,blue-collar,married,secondary,no,-346,yes,yes,5551
32,management,married,tertiary,no,578,no,yes,15927
29,management,single,tertiary,no,1895,no,no,17473
50,management,married,tertiary,no,-94,no,yes,12290
49,unemployed,married,primary,yes,11,yes,no,18645
51,retired,married,tertiary,no,746,no,no,22910
43,technician,married,secondary,no,4056,no,no,34343
30,management,married,tertiary,no,-27,yes,no,6483
59,retired,married,primary,no,3400,yes,no,19067
37,admin.,married,secondary,no,766,yes,no,3033
30,technician,married,secondary,no,817,yes,no,27592
34,technician,married,tertiary,no,0,no,no,15554
68,retired,married,primary,no,7945,no,no,43559
40,admin.,married,secondary,no,3126,yes,no,42590
39,self-employed,married,secondary,no,4722,yes,no,10827
40,technician,married,secondary,no,5811,yes,no,24963
31,services,single,secondary,no,297,no,no,28668
51,blue-collar,married,secondary,no,0,no,yes,12531
60,admin.,divorced,secondary,no,4519,no,no,34213
60,management,married,secondary,no,544,no,no,40234
40,student,married,secondary,no,260,no,no,12182
54,blue-collar,married,secondary,no,1487,yes,no,3119
35,self-employed,married,secondary,no,273,no,no,11897
57,management,married,tertiary,no,132,yes,no,17747
46,admin.,single,secondary,no,1544,yes,no,7315
40,self-employed,married,secondary,no,31,yes,no,32328
38,entrepreneur,single,primary,no,154,yes,no,36261
41,management,married,tertiary,no,615,yes,no,7099
50,retired,married,secondary,no,1227,no,no,28382
33,blue-collar,single,secondary,no,476,yes,yes,33045
25,technician,married,secondary,no,-276,yes,no,8779
29,services,single,secondary,no,566,no,no,1105
29,admin.,married,secondary,no,688,yes,no,4951
42,management,married,tertiary,no,4,yes,no,35806
42,admin.,divorced,secondary,no,-172,yes,yes,8910
42,management,married,tertiary,no,6,yes,no,1404
50,unemployed,married,secondary,no,193,yes,no,11311
44,services,married,secondary,no,522,no,yes,11726
32,management,single,tertiary,no,2846,yes,no,42076
45,management,married,tertiary,no,226,yes,no,43043
31,technician,married,secondary,no,467,yes,no,36438
61,blue-collar,married,primary,no,1115,no,no,21093
57,blue-collar,divorced,secondary,no,1103,yes,no,14675
51,blue-collar,married,secondary,no,7225,no,no,17572
37,management,married,tertiary,no,1353,yes,no,25814
45,technician,divorced,secondary,no,88,yes,no,22553
29,management,married,primary,no,5547,no,no,40471
44,services,married,secondary,no,3843,yes,no,24596
38,technician,single,tertiary,no,25,yes,no,39820
33,technician,single,secondary,no,1769,yes,no,24851
56,admin.,single,secondary,no,1854,yes,no,35183
25,technician,single,secondary,no,886,no,no,40860
35,self-employed,married,primary,no,2086,yes,no,27026
56,technician,divorced,secondary,no,5,no,no,21710
51,retired,married,secondary,no,1435,no,no,10099
48,technician,married,secondary,no,71,no,no,11943
31,management,single,tertiary,no,3283,no,no,29289
43,unemployed,married,secondary,no,553,no,no,29830
34,blue-collar,single,secondary,no,-199,no,no,16173
34,housemaid,married,tertiary,no,11219,no,no,39470
41,management,single,unknown,no,1604,no,no,10528
55,services,married,secondary,no,953,yes,yes,19204
32,unemployed,single,secondary,no,0,no,no,39688
49,admin.,married,secondary,no,-209,no,no,7631
59,management,married,tertiary,no,0,no,no,21498
48,management,married,tertiary,no,5887,no,no,20776
29,management,single,tertiary,no,268,no,no,32339
49,technician,married,secondary,no,175,yes,yes,27146
54,blue-collar,married,primary,no,45,yes,no,11261
49,blue-collar,married,secondary,no,825,yes,no,15154
33,services,married,secondary,no,4434,yes,no,4464
28,student,single,tertiary,no,3054,no,no,34088
43,blue-collar,married,secondary,no,2,yes,yes,35678
31,technician,single,secondary,no,674,yes,yes,8353
55,management,married,tertiary,no,223,no,no,19997
37,blue-collar,married,primary,no,3154,yes,no,32760
41,management,married,tertiary,no,2226,no,no,33866
34,unknown,married,unknown,no,164,no,no,18884
43,unemployed,married,secondary,no,1943,yes,no,31578
76,retired,divorced,primary,no,802,no,no,41506
39,blue-collar,divorced,secondary,no,37,no,yes,11423
30,services,divorced,secondary,no,78,yes,no,26475
46,management,divorced,tertiary,no,10469,yes,no,31464
35,blue-collar,married,secondary,no,913,yes,no,32996
47,blue-collar,married,primary,no,961,no,no,23788
49,services,married,secondary,no,892,no,no,2987
57,management,single,tertiary,no,73,no,no,2251
34,technician,divorced,secondary,no,2036,yes,yes,4490
34,management,married,tertiary,no,1495,yes,no,35208
58,unemployed,married,secondary,no,68,no,no,39573
25,services,married,secondary,no,-282,yes,yes,16892
34,blue-collar,married,secondary,no,298,yes,no,3351
31,management,married,tertiary,no,0,no,no,20125
67,retired,single,tertiary,no,3377,no,no,33792
72,retired,divorced,tertiary,no,438,no,no,43107
34,blue-collar,married,primary,no,567,no,yes,13343
40,services,married,secondary,no,113,yes,no,8912
38,technician,single,secondary,no,0,no,no,43173
29,services,single,secondary,no,-251,no,no,17033
40,services,married,secondary,no,-345,yes,no,16680
53,blue-collar,married,primary,no,2295,no,no,22133
29,admin.,married,secondary,no,6429,yes,yes,37696
37,technician,married,secondary,no,630,no,no,19819
31,blue-collar,married,primary,no,298,yes,yes,8056
56,retired,married,primary,no,855,no,no,9187
37,services,married,secondary,no,217,yes,no,36117
38,self-employed,single,tertiary,no,1612,yes,no,36006
59,technician,married,primary,no,4198,no,no,42659
32,unemployed,single,secondary,no,177,yes,no,1529
34,services,married,secondary,no,-62,yes,no,10502
32,blue-collar,married,secondary,no,300,no,no,30714
32,housemaid,married,secondary,no,3469,no,no,19569
40,management,married,secondary,yes,-1545,no,no,23408
36,blue-collar,single,secondary,no,366,yes,yes,7612
37,entrepreneur,married,tertiary,no,264,yes,yes,26363
58,blue-collar,married,secondary,no,1894,no,no,20079
42,technician,married,secondary,no,827,no,no,22844
29,self-employed,single,tertiary,no,5406,no,no,1826
50,services,married,secondary,no,5699,yes,no,206
33,management,single,secondary,no,1326,no,yes,12934
54,technician,married,secondary,no,1076,no,no,27734
52,management,divorced,primary,no,11,no,no,30668
47,admin.,married,secondary,no,3434,yes,yes,13659
37,blue-collar,married,primary,no,5643,yes,no,5059
54,self-employed,married,primary,no,1463,no,no,11776
28,blue-collar,married,secondary,no,1958,yes,no,8704
33,self-employed,married,tertiary,no,-355,yes,no,5349
42,services,married,unknown,no,8,yes,no,3386
31,services,married,secondary,no,1783,yes,yes,34774
51,retired,married,secondary,no,965,yes,no,27773
32,blue-collar,single,secondary,no,218,yes,no,38908
34,self-employed,single,tertiary,no,1798,yes,no,37295
36,admin.,married,secondary,no,234,yes,no,6363
42,technician,married,secondary,no,-556,yes,no,25474
27,blue-collar,single,secondary,yes,-2,yes,yes,2755
43,blue-collar,married,primary,no,575,no,no,29113
58,technician,divorced,secondary,no,2270,no,no,12176
36,blue-collar,married,unknown,no,-389,yes,no,3142
45,blue-collar,married,primary,no,512,no,no,14829
44,admin.,divorced,secondary,no,21,yes,no,31964
47,management,single,tertiary,no,159,no,no,42061
29,self-employed,single,tertiary,no,805,no,no,43111
36,admin.,single,secondary,no,8,no,no,22167
48,services,single,primary,no,204,yes,no,16090
44,blue-collar,married,secondary,no,54,yes,no,106
39,blue-collar,married,secondary,no,-145,yes,no,32104
31,services,single,secondary,no,181,no,no,42281
37,blue-collar,married,primary,no,445,yes,no,6029
60,retired,married,secondary,no,262,no,no,21252
43,management,single,secondary,no,1063,yes,no,30174
36,self-employed,single,tertiary,no,0,yes,no,33994
36,admin.,divorced,secondary,no,-811,yes,no,36517
41,services,married,tertiary,no,881,no,no,42088
32,blue-collar,single,primary,no,18,yes,yes,34979
31,services,single,secondary,no,181,no,no,40862
27,blue-collar,single,secondary,no,153,yes,no,33599
36,blue-collar,married,secondary,no,6290,yes,no,8686
38,management,married,tertiary,no,0,no,no,30481
33,admin.,married,secondary,no,393,yes,no,6903
48,technician,married,secondary,no,2688,no,yes,23000
47,management,single,tertiary,no,311,yes,yes,45152
52,technician,single,secondary,no,36,yes,no,3844
45,blue-collar,married,primary,no,-485,yes,no,19539
38,admin.,married,secondary,no,545,no,no,10343
44,blue-collar,married,secondary,no,-95,yes,no,1309
54,management,married,tertiary,no,2650,yes,yes,25735
32,blue-collar,married,primary,no,642,no,yes,13088
32,technician,single,tertiary,no,514,yes,yes,26530
44,management,divorced,tertiary,no,0,no,no,9355
40,blue-collar,married,secondary,no,1039,yes,no,26158
46,blue-collar,married,secondary,no,-396,no,yes,18952
33,blue-collar,single,primary,no,-104,yes,no,38703
59,retired,married,secondary,no,2467,no,no,26695
44,management,divorced,tertiary,no,6486,no,no,18022
39,admin.,married,secondary,no,8,yes,no,38685
49,retired,married,primary,no,3478,no,no,10068
33,blue-collar,divorced,primary,no,176,yes,no,1191
33,management,divorced,tertiary,no,990,yes,no,16693
37,technician,single,secondary,no,18,no,no,10431
52,blue-collar,married,primary,no,17,yes,no,7498
30,management,single,tertiary,no,775,yes,no,10459
36,services,single,secondary,no,260,yes,no,6558
35,technician,single,tertiary,no,670,no,no,41788
41,self-employed,married,secondary,no,1,no,no,21515
33,admin.,married,secondary,no,56,no,no,30439
52,technician,married,tertiary,no,104,no,no,21161
51,services,married,secondary,no,135,no,no,22839
46,management,married,tertiary,no,-191,yes,no,30175
31,technician,single,secondary,no,816,no,no,40214
58,management,married,tertiary,no,1831,no,no,24602
32,admin.,married,tertiary,no,2831,yes,no,24819
42,services,divorced,secondary,no,732,no,no,18129
44,technician,divorced,secondary,no,1196,yes,no,6282
50,blue-collar,married,primary,no,14,yes,yes,5783
46,technician,married,secondary,no,1975,yes,no,19829
34,admin.,single,secondary,no,1,yes,no,16110
67,admin.,married,primary,no,1093,no,no,40559
58,management,married,secondary,no,139,no,no,43805
37,self-employed,divorced,secondary,no,3467,no,no,9970
45,management,married,tertiary,no,1929,yes,no,7394
48,services,married,secondary,no,260,no,no,20678
36,blue-collar,married,unknown,no,70,yes,no,1506
53,blue-collar,married,primary,no,256,yes,no,7990
38,management,married,tertiary,no,536,yes,no,45087
38,housemaid,divorced,primary,no,359,no,no,9922
42,unemployed,married,secondary,no,250,yes,no,17645
45,management,married,secondary,yes,237,yes,no,27156
